Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Children's home,West Midlands,Birmingham,Private,4,DMR Services Ltd
Children's home,South East,Hampshire,Private,5,Priory Education Services Limited
Voluntary Adoption Agency,West Midlands,Solihull,Voluntary,,Family Society
Children's home,East Midlands,Northamptonshire,Private,5,Living Life (UK) Limited
Adoption Support Agency,West Midlands,Warwickshire,Voluntary,,Father Hudson's Society
Children's home,West Midlands,Telford and Wrekin,Private,2,Cove Care - Residential Limited
Children's home,South East,Isle of Wight,Private,4,Island Choices Ltd
Children's home,West Midlands,Herefordshire,Private,5,Priory Education Services Limited
Children's home,"North East, Yorkshire and the Humber",Leeds,Private,4,The Partnership Of Care Today
Children's home,South West,Somerset,Private,4,Headway Adolescent Resources Limited
Children's home,North West,Halton,Private,1,Cambian Childcare Ltd
Children's home,West Midlands,Warwickshire,Private,5,Cambian Childcare Ltd
Children's home,East Midlands,Northamptonshire,Private,2,Cambian Childcare Ltd
Children's home,West Midlands,Herefordshire,Private,4,Cambian Childcare Ltd
Children's home,East of England,Essex,Private,3,Cambian Childcare Ltd
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Sheffield,Local Authority,19,Sheffield City Council
Children's home,London,Redbridge,Private,5,Heartwood RSW Ltd
Children's home,North West,Lancashire,Local Authority,6,Lancashire County Council
Residential Special School,"North East, Yorkshire and the Humber",North Yorkshire,Private,28,Witherslack Group of Schools Limited
Boarding School,North West,Cumbria,Academy,139,South Westmorland Multi Academy Trust
Children's home,West Midlands,Solihull,Private,4,Compass Children's Homes Ltd
Independent Fostering Agency,West Midlands,Staffordshire,Private,,Fusion Fostering Limited
Children's home,North West,Cumbria,Private,2,Active Ark Limited
Children's home,South East,Kent,Private,6,Ethelbert Specialist Homes Limited
Children's home,London,Redbridge,Private,6,Lodge Group Care UK Limited
Independent Fostering Agency,South East,Hampshire,Private,,Blue Sky Fostering Limited
Children's home,South West,Devon,Private,3,Willows(Devon)Ltd
Children's home,North West,Manchester,Private,2,Cambian Childcare Ltd
Residential special school (registered as a children's home),East Midlands,Rutland,Private,12,Hopscotch Solutions Limited
Children's home,South East,Kent,Private,6,Ethelbert Specialist Homes Limited
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Local Authority,6,Stockton On Tees Borough Council
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Local Authority,6,Stockton On Tees Borough Council
Independent Fostering Agency,South West,Gloucestershire,Voluntary,,Community Foster Care
Children's home,North West,Warrington,Private,3,Cambian Childcare Ltd
Children's home,South West,Devon,Private,3,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,5,Cambian Childcare Ltd
Children's home,South West,Somerset,Private,3,Cambian Childcare Ltd
Children's home,London,Brent,Local Authority,8,London Borough of Brent
Children's home,"North East, Yorkshire and the Humber",Durham,Voluntary,6,North East Autism Society
Boarding School,South West,Wiltshire,Academy,100,The Wellington Academy Trust
Children's home,London,Ealing,Voluntary,8,St Christopher's Fellowship
Children's home,West Midlands,Shropshire,Private,3,Reflexion Care Group Limited
Children's home,South East,Hampshire,Private,4,New Forest Care
Children's home,East Midlands,Derbyshire,Private,1,Blue Mountain Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Private,3,No. 57 Ltd
Children's home,North West,Lancashire,Private,5,Holistic Approach Ltd
Independent Fostering Agency,North West,Stockport,Private,,Care 4 Children Residential Services Ltd
Children's home,West Midlands,Telford and Wrekin,Private,4,Care 4 Children Residential Services Ltd
Children's home,South East,East Sussex,Private,6,Compass Children's Homes Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,6,Paddock House Limited
Children's home,South West,"Bournemouth, Christchurch & Poole",Voluntary,4,Diverse Abilities Plus Ltd.
Children's home,North West,Wigan,Private,1,Care Afloat Ltd
Children's home,"North East, Yorkshire and the Humber",Wakefield,Private,4,Dove Adolescent Services Limited
Residential Special School,North West,Cheshire West and Chester,Local Authority,18,Cheshire West And Chester Council
Children's home,London,Waltham Forest,Private,6,Horizon Residential Children's Home
Children's home,"North East, Yorkshire and the Humber",Durham,Private,3,Pear Tree Projects Limited
Children's home,North West,Stockport,Private,8,Halliwell Homes
Residential Special School,South East,Hampshire,Voluntary,77,St Edward's School
Children's home,East of England,Norfolk,Local Authority,9,Norfolk County Council Children's Services
Children's home,North West,Lancashire,Local Authority,2,Lancashire County Council
Children's home,South East,Kent,Private,2,Benecare Limited
Children's home,South East,West Sussex,Private,6,Keys KIN Ltd
Children's home,West Midlands,Birmingham,Private,4,Meadows Care Limited
Children's home,East Midlands,Nottinghamshire,Private,2,Esland North Limited
Independent Fostering Agency,North West,Lancashire,Private,,Olive Branch Fostering Ltd
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,1,Cambian Childcare Ltd
Children's home,West Midlands,Birmingham,Private,4,Meadows Care Limited
Children's home,North West,Lancashire,Private,3,Exceptional Care Ltd
Children's home,North West,Lancashire,Private,6,Union House Nw Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,5,Compass Children's Homes Ltd
Children's home,South East,East Sussex,Private,2,Crusoe Care Limited 06843979
Children's home,South West,Cornwall,Private,4,Pathway Care Solutions Group Limited
Children's home,South East,Oxfordshire,Private,8,Hillcrest Children's Services Ltd
Children's home,East Midlands,Lincolnshire,Private,6,Hexagon Care Services Limited
Residential Family Centre,North West,Wigan,Private,6,Progressive Care Limited
Children's home,South East,West Berkshire,Private,4,Calcot Services For Children Ltd
Independent Fostering Agency,London,Croydon,Private,,Children Of All Nations Ltd
Children's home,London,Tower Hamlets,Private,5,The Qalb Short Break Services Ltd
Children's home,South East,Hampshire,Private,5,The Serendipity Centre Limited
Children's home,North West,Lancashire,Private,4,Life Change Care Limited
Children's home,South East,West Berkshire,Private,5,Priory Education Services Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",Sunderland,Private,,Uk Fostering (ne) Limited
Children's home,East Midlands,Derbyshire,Private,3,Blue Mountain Homes Ltd
Children's home,North West,Cheshire East,Private,3,Unity Residential Care Services Limited
Children's home,North West,Lancashire,Private,4,Bay View Child Care
Children's home,East of England,Hertfordshire,Private,4,Jasmine Gardens Private Ltd
Children's home,West Midlands,Dudley,Private,3,Thrive Childcare Services Ltd
Children's home,North West,Knowsley,Local Authority,4,Knowsley Metropolitan Borough Council
Independent Fostering Agency,South West,Plymouth,Private,,Foster Care Associates Limited
Residential special school (registered as a children's home),West Midlands,Worcestershire,Voluntary,61,Sunfield Children's Homes Limited
Children's home,"North East, Yorkshire and the Humber",Darlington,Local Authority,3,Darlington Borough Council
Children's home,London,Harrow,Private,3,
Children's home,East Midlands,Leicester,Local Authority,10,Leicester City Council
Children's home,North West,Lancashire,Private,1,Care Afloat Ltd
Residential Special School,South West,Wiltshire,Academy,50,Learn@Mat
Boarding School,North West,Lancashire,Private,395,Jamea Al Kauthar Islamic College (Charity)
Children's home,North West,Lancashire,Local Authority,6,Lancashire County Council
Children's home,North West,Lancashire,Local Authority,6,Lancashire County Council
Children's home,South East,Surrey,Local Authority,5,Surrey County Council
Children's home,West Midlands,Telford and Wrekin,Private,3,Bryn Melyn Care Limited
Children's home,East of England,Peterborough,Private,2,Conquered Limited
Children's home,South West,Wiltshire,Private,5,Witherslack Group Ltd
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's home,London,Brent,Private,4,Champion Children (fig Tree) Limited
Children's home,East of England,Essex,Private,2,Cambian Childcare Ltd
Children's home,South East,Surrey,Voluntary,7,The National Centre For Young People With Epilepsy
Children's home,North West,Oldham,Private,3,Strive To Care LTD
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,1,Hull City Council
Children's home,"North East, Yorkshire and the Humber",Wakefield,Private,3,Keir Lock Children's Homes Ltd
Children's home,North West,Oldham,Private,7,Cambian Childcare Ltd
Children's home,East Midlands,Derby,Local Authority,5,Derby City Council
Children's home,East Midlands,Derbyshire,Local Authority,4,Derbyshire County Council
Independent Fostering Agency,South East,Medway,Voluntary,,Anchor Foster Care Services Limited
Independent Fostering Agency,North West,Warrington,Private,,Orange Grove Fostercare Ltd
Independent Fostering Agency,London,Bromley,Private,,Orange Grove Fostercare Ltd
Children's home,East Midlands,Lincolnshire,Local Authority,6,Lincolnshire County Council
Residential Special School,West Midlands,Worcestershire,Private,80,New College Worcester
Residential Special School,West Midlands,Wolverhampton,Local Authority,6,Wolverhampton City Council
Independent Fostering Agency,London,Southwark,Private,,Synergy Fostering Limited
Independent Fostering Agency,North West,Trafford,Private,,SWIIS Foster Care Limited
Independent Fostering Agency,South East,Kent,Private,,Hythe House Support Ltd
Children's home,North West,Lancashire,Private,4,Progress Care and Education Limited
Children's home,South West,Somerset,Private,5,Blackford Education (schools) Ltd
Children's home,South East,Surrey,Voluntary,14,Cherry Trees Limited
Residential Special School,West Midlands,Birmingham,Local Authority,12,Birmingham City Council
Children's home,East of England,Hertfordshire,Voluntary,5,Jubilee House Care Trust Limited
Children's home,West Midlands,Telford and Wrekin,Private,5,Castle Homes Care Ltd
Children's home,West Midlands,Shropshire,Private,5,Keys Nhcc Ltd
Children's home,North West,Manchester,Private,4,The Partnership Of Care Today
Children's home,North West,Manchester,Private,6,Social Care Services Limited
Children's home,North West,St Helens,Private,1,PIC Children's Services Limited
Children's home,North West,St Helens,Voluntary,3,Nugent Care 2019
Secure children's home,North West,St Helens,Voluntary,12,Nugent Care 2019
Children's home,London,Lewisham,Private,2,Zone Central Ltd
Children's home,North West,Tameside,Private,4,New Horizons-(stockport) Ltd
Children's home,South East,Kent,Private,4,Carlar Care Limited
Children's home,South West,Devon,Private,3,Priory Education Services Limited
Children's home,London,Haringey,Private,5,Sunrise Hill Care Ltd.
Children's home,"North East, Yorkshire and the Humber",Rotherham,Private,4,Pathway Care Solutions Group Limited
Children's home,North West,Salford,Private,3,Stepping Stones Childrens Homes Limited
Children's home,North West,Bury,Private,3,Inspire Childrens Services
Children's home,"North East, Yorkshire and the Humber",North East Lincolnshire,Local Authority,4,North East Lincolnshire Council
Children's home,South West,Wiltshire,Private,5,Witherslack Group Ltd
Children's home,London,Redbridge,Private,3,Solace Care 7kings Ltd
Independent Fostering Agency,London,Islington,Private,,Family Futures Cic
Residential special school (registered as a children's home),West Midlands,Warwickshire,Private,6,Young Foundations Ltd
Independent Fostering Agency,"North East, Yorkshire and the Humber",Leeds,Voluntary,,Barnardo's
Children's home,East Midlands,Nottinghamshire,Private,5,Pathway Care Solutions Ltd
Children's home,South West,Devon,Private,4,3 Dimensions Care Limited
Independent Fostering Agency,North West,Cheshire West and Chester,Private,,Foster Careline Ltd
Independent Fostering Agency,West Midlands,Warwickshire,Private,,Social Work Assessment Partners Ltd
Residential Special School,West Midlands,Staffordshire,Local Authority,4,Sandwell Metropolitan Borough Council
Residential Special School,West Midlands,Staffordshire,Academy,29,The Shaw Education Trust
Residential Special School,West Midlands,Staffordshire,Academy,9,Manor Hall Academy Trust
Children's home,North West,Halton,Local Authority,4,Halton Borough Council
Residential Special School,East Midlands,Leicestershire,Private,15,Acorn Care & Education
Residential special school (registered as a children's home),West Midlands,Staffordshire,Private,8,The Partnership Of Care Today
Independent Fostering Agency,West Midlands,Sandwell,Private,,Active Care Solutions Limited
Independent Fostering Agency,London,Croydon,Voluntary,,Diagrama Children's Services Limited
Children's home,West Midlands,Telford and Wrekin,Private,3,Horizon Care and Education Group Limited
Residential special school (registered as a children's home),East Midlands,Derbyshire,Private,6,Smooth Stone Care & Education Ltd
Children's home,West Midlands,Staffordshire,Private,2,Inspire Care (UK) Limited
Voluntary Adoption Agency,"North East, Yorkshire and the Humber",Sunderland,Voluntary,,ARC Adoption North East Limited
Children's home,West Midlands,Staffordshire,Private,3,Horizon Care and Education Group Limited
Children's home,West Midlands,Shropshire,Private,4,Cambian Childcare Ltd
Children's home,East Midlands,Leicestershire,Private,5,Cambian Childcare Ltd
Independent Fostering Agency,South East,Kent,Private,,Isp
Children's home,East Midlands,Nottingham,Private,3,Homes 2 Inspire Limited
Residential Family Centre,London,Wandsworth,Local Authority,5,Wandsworth Borough Council
Children's home,North West,Trafford,Local Authority,6,Trafford Borough Council
Children's home,"North East, Yorkshire and the Humber",Leeds,Local Authority,5,Leeds City Council
Independent Fostering Agency,"North East, Yorkshire and the Humber",North Tyneside,Voluntary,,Team Fostering
Children's home,North West,Blackpool,Local Authority,7,Blackpool Borough Council
Independent Fostering Agency,East Midlands,Northamptonshire,Private,,Alliance Foster Care Limited 04249271 
Children's home,North West,Tameside,Local Authority,5,Tameside Metropolitan Borough Council 
Children's home,East Midlands,Nottingham,Private,3,Capstone Care Provider Limited
Children's home,South East,Bracknell Forest,Private,4,SWAAY Child and Adolescent Services Limited
Independent Fostering Agency,West Midlands,Staffordshire,Private,,Flying Colours Foster Care Limited
Children's home,North West,Cumbria,Private,4,Radical Services Ltd
Children's home,South East,Hampshire,Private,4,Priory Education Services Limited
Children's home,"North East, Yorkshire and the Humber",Doncaster,Private,2,First 4 Care Ltd
Children's home,East Midlands,Leicestershire,Private,4,Horizon Care and Education Group Limited
Children's home,East Midlands,Leicestershire,Private,3,Horizon Care and Education Group Limited
Children's home,East Midlands,Nottingham,Private,5,Homes 2 Inspire Limited
Children's home,"North East, Yorkshire and the Humber",Sunderland,Voluntary,6,Together for Children Sunderland Limited
